departure_city,start_date,duration_days,num_people,budget_per_person_inr,preferred_pace,accommodation_style,interests,destination
Ahmedabad,20-04-26,4,1,20223,Balanced,Budget,Adventure|History|Spiritual,Pokhara
Kolkata,01-09-26,4,6,16781,Relaxed,Budget,History|Nature,Pokhara
Jaipur,13-11-25,6,2,129942,Relaxed,Private Apartments,Beaches|Nightlife|Spiritual,Maldives
Delhi,08-01-26,2,4,16362,Relaxed,Mid-range Hotels,Nature,Shimla
Kolkata,04-03-26,3,4,55808,Balanced,Mid-range Hotels,Beaches|Food,Singapore
Kolkata,23-12-25,5,5,21634,Balanced,Mid-range Hotels,Adventure|Beaches|History,Shimla
Pune,29-07-26,6,3,23776,Relaxed,Mid-range Hotels,History|Nature,Coorg
Pune,18-10-26,5,1,12635,Relaxed,Budget,Adventure|Culture|Spiritual,Manali
Pune,26-08-26,4,3,32995,Balanced,Mid-range Hotels,Adventure|Culture|Nature,Da Nang
Hyderabad,30-10-26,6,1,27004,Relaxed,Budget,Nature,Shimla
Bangalore,24-04-26,3,1,26992,Relaxed,Mid-range Hotels,Beaches|Culture,Colombo
Bangalore,04-02-26,6,1,46555,Action-Packed,Budget,Food,Goa
Hyderabad,07-05-26,8,4,42454,Balanced,Luxury Hotels,History|Nature,Bali
Pune,17-01-26,3,3,17555,Relaxed,Private Apartments,Culture|Food|Nature,Coorg
Bangalore,18-07-26,6,1,100361,Relaxed,Luxury Hotels,Beaches,Maldives
Mumbai,15-10-26,3,1,19289,Relaxed,Budget,History,Varanasi
Chennai,25-01-26,6,2,43147,Relaxed,Private Apartments,Beaches,Langkawi
Chennai,26-07-26,5,5,39627,Relaxed,Mid-range Hotels,Beaches,Langkawi
Ahmedabad,02-11-25,4,2,29464,Relaxed,Private Apartments,Culture|Food|Nightlife,Coorg
Pune,15-05-26,4,6,32879,Balanced,Private Apartments,Culture,Da Nang
Kochi,08-12-25,4,1,30689,Relaxed,Private Apartments,Food|Nature,Coorg
Kolkata,06-05-26,4,1,37111,Balanced,Private Apartments,Culture,Jaipur
Bangalore,20-06-26,3,5,45894,Balanced,Budget,Adventure|Food,Phuket
Bangalore,25-12-25,5,6,14913,Relaxed,Budget,Nature,Shimla
Delhi,06-07-26,5,3,73377,Balanced,Mid-range Hotels,Food|History,Singapore
Jaipur,27-04-26,4,6,20930,Relaxed,Mid-range Hotels,Adventure|Culture,Colombo
Kolkata,18-08-26,3,6,15941,Balanced,Budget,Spiritual,Pokhara
Kochi,22-05-26,6,1,66212,Balanced,Luxury Hotels,Nightlife,Dubai
Mumbai,15-09-26,4,2,22322,Action-Packed,Private Apartments,Adventure,Rishikesh
Hyderabad,23-07-26,4,1,27769,Relaxed,Budget,Food,Colombo
Pune,28-12-25,4,2,67026,Balanced,Luxury Hotels,Beaches|Culture,Singapore
Kolkata,06-02-26,3,1,16934,Relaxed,Budget,Beaches|History,Varanasi
Jaipur,29-10-26,4,1,16668,Action-Packed,Private Apartments,Adventure|Spiritual,Rishikesh
Mumbai,11-09-26,7,6,38911,Balanced,Mid-range Hotels,Food,Phuket
Kolkata,06-07-26,9,1,68701,Balanced,Mid-range Hotels,Adventure,Ladakh
Jaipur,07-08-26,3,3,17683,Relaxed,Mid-range Hotels,History,Shimla
Chennai,05-06-26,5,6,27490,Balanced,Budget,Food,Goa
Jaipur,19-08-26,3,2,34716,Balanced,Mid-range Hotels,Culture|History,Jaipur
Kochi,15-07-26,3,4,17753,Balanced,Private Apartments,Nature|Nightlife,Rishikesh
Bangalore,22-03-26,3,4,29554,Relaxed,Private Apartments,Food,Coorg
Bangalore,21-05-26,6,5,16264,Balanced,Mid-range Hotels,Adventure|Food|Nature,Shimla
Bangalore,23-07-26,4,4,41085,Balanced,Budget,Nightlife,Phuket
Kochi,28-05-26,5,1,21186,Relaxed,Private Apartments,Adventure,Pokhara
Chennai,27-10-26,6,5,31054,Relaxed,Mid-range Hotels,Nature,Langkawi
Jaipur,26-03-26,5,4,18828,Balanced,Budget,Adventure,Rishikesh
Kolkata,15-04-26,6,6,36121,Balanced,Mid-range Hotels,Beaches|Nature,Da Nang
Mumbai,18-02-26,6,6,46963,Action-Packed,Private Apartments,Adventure,Ladakh
Mumbai,17-09-26,6,4,19151,Balanced,Budget,Adventure|Nature,Shimla
Bangalore,06-05-26,3,3,22669,Relaxed,Private Apartments,Adventure|Culture|Nature,Manali
Chennai,09-02-26,6,1,26091,Relaxed,Private Apartments,Nature,Coorg
Jaipur,20-01-26,5,1,34590,Balanced,Mid-range Hotels,Nature|Nightlife,Phuket
Hyderabad,24-09-26,4,1,67151,Balanced,Luxury Hotels,Nature|Nightlife,Singapore
Mumbai,11-08-26,2,1,32763,Balanced,Mid-range Hotels,Food|History,Jaipur
Mumbai,22-12-25,5,3,44063,Relaxed,Mid-range Hotels,Adventure|Beaches,Langkawi
Kolkata,20-03-26,4,5,38642,Relaxed,Private Apartments,Beaches,Langkawi
Jaipur,07-12-25,4,1,60477,Balanced,Mid-range Hotels,Adventure|Nightlife,Singapore
Mumbai,04-10-26,5,1,58462,Balanced,Mid-range Hotels,Beaches|History|Nightlife,Istanbul
Pune,08-11-25,3,2,18361,Balanced,Private Apartments,Adventure|Culture|Nature,Pokhara
Jaipur,29-12-25,5,4,122028,Relaxed,Private Apartments,Food|Nature|Spiritual,Maldives
Pune,28-10-26,6,6,35840,Balanced,Luxury Hotels,Beaches|Culture|Food,Bali
Ahmedabad,16-02-26,4,4,38253,Relaxed,Mid-range Hotels,Beaches|Nature|Spiritual,Langkawi
Chennai,03-05-26,7,5,47982,Action-Packed,Mid-range Hotels,Adventure|History,Ladakh
Mumbai,17-11-25,7,5,54914,Balanced,Mid-range Hotels,Nature,Bali
Hyderabad,12-06-26,4,5,52462,Balanced,Luxury Hotels,Culture|Nightlife,Istanbul
Mumbai,13-10-26,3,3,22574,Relaxed,Private Apartments,Nature,Pokhara
Kolkata,13-02-26,6,2,36645,Balanced,Budget,Food|Spiritual,Goa
Delhi,10-11-25,4,2,58733,Balanced,Mid-range Hotels,Food|Nightlife,Singapore
Ahmedabad,10-10-26,6,4,47758,Action-Packed,Private Apartments,Food|Nature,Ladakh
Kochi,03-05-26,4,4,18384,Relaxed,Private Apartments,Culture,Ooty
Mumbai,11-07-26,5,2,29069,Balanced,Private Apartments,Culture,Jaipur
Chennai,22-01-26,9,4,50655,Action-Packed,Private Apartments,Culture|Nature,Ladakh
Pune,26-08-26,3,1,13915,Relaxed,Mid-range Hotels,Culture|Food|History,Varanasi
Chennai,18-12-25,5,6,98933,Relaxed,Luxury Hotels,Beaches|History|Nature,Maldives
Hyderabad,08-07-26,5,4,54276,Balanced,Mid-range Hotels,Beaches,Bali
Delhi,16-12-25,6,1,32811,Balanced,Budget,Beaches|Culture,Goa
Pune,20-02-26,5,1,56011,Relaxed,Mid-range Hotels,Beaches|Food,Langkawi
Ahmedabad,20-12-25,3,1,40293,Balanced,Budget,Beaches,Phuket
Ahmedabad,03-05-26,6,3,55919,Balanced,Luxury Hotels,Food,Istanbul
Bangalore,25-02-26,2,6,16641,Relaxed,Mid-range Hotels,Culture,Varanasi
Kolkata,25-09-26,2,6,17206,Relaxed,Mid-range Hotels,Culture|Nightlife,Varanasi
Jaipur,19-02-26,5,2,132467,Relaxed,Private Apartments,Adventure|History|Nature,Maldives
Ahmedabad,28-07-26,3,1,20185,Relaxed,Mid-range Hotels,Adventure|Culture|Food,Coorg
Bangalore,08-10-26,7,2,50622,Balanced,Private Apartments,Beaches|Nature,Andaman & Nicobar Islands
Mumbai,01-03-26,6,5,28079,Balanced,Private Apartments,Adventure|Beaches,Goa
Mumbai,21-11-25,5,4,24150,Balanced,Private Apartments,Food|Nightlife,Jaipur
Bangalore,18-08-26,5,5,19387,Action-Packed,Budget,Adventure|Nightlife|Spiritual,Rishikesh
Mumbai,20-08-26,4,3,20942,Relaxed,Budget,Culture,Ooty
Ahmedabad,16-04-26,1,5,10944,Relaxed,Mid-range Hotels,History,Varanasi
Bangalore,23-07-26,4,4,41085,Balanced,Budget,Nightlife,Phuket
Ahmedabad,30-09-26,4,6,62134,Balanced,Luxury Hotels,History|Nightlife,Singapore
Kolkata,20-03-26,4,1,26223,Relaxed,Budget,History|Nature,Ooty
Ahmedabad,10-05-26,6,5,43020,Balanced,Budget,Beaches|Nightlife,Phuket
Kochi,27-11-25,5,5,43541,Relaxed,Luxury Hotels,Beaches,Bali
Ahmedabad,17-02-26,3,5,23997,Balanced,Private Apartments,Food|Nightlife,Jaipur
Jaipur,26-11-25,4,6,48543,Balanced,Luxury Hotels,History,Istanbul
Kolkata,09-06-26,3,5,43196,Relaxed,Private Apartments,Beaches|Culture|History,Langkawi
Kolkata,16-07-26,4,2,33026,Balanced,Mid-range Hotels,Food|Nature,Da Nang
Delhi,10-07-26,4,5,19766,Relaxed,Private Apartments,Food|Nature,Ooty
Chennai,15-02-26,6,5,29852,Relaxed,Private Apartments,Beaches,Langkawi
Hyderabad,08-06-26,3,2,25267,Balanced,Budget,Culture|Nature|Spiritual,Shimla
Chennai,21-11-25,3,5,19464,Action-Packed,Private Apartments,Nature,Rishikesh
Chennai,26-06-26,2,5,12416,Balanced,Private Apartments,Adventure|Nightlife,Rishikesh
Hyderabad,30-04-26,4,6,27531,Balanced,Mid-range Hotels,History|Nightlife,Goa
Hyderabad,05-07-26,5,4,34763,Balanced,Private Apartments,Nightlife,Goa
Mumbai,20-12-25,4,4,87092,Relaxed,Private Apartments,Beaches|Food|Spiritual,Maldives
Delhi,24-08-26,2,1,23673,Balanced,Mid-range Hotels,History,Shimla
Ahmedabad,29-08-26,5,5,19647,Relaxed,Private Apartments,Culture|Nightlife,Ooty
Mumbai,15-09-26,4,2,22322,Action-Packed,Private Apartments,Adventure,Rishikesh
Bangalore,05-11-25,3,5,63867,Balanced,Luxury Hotels,Adventure|Food|Nightlife,Dubai
Jaipur,25-04-26,4,4,72746,Balanced,Mid-range Hotels,Food|History|Nature,Istanbul
Hyderabad,06-06-26,6,2,44488,Balanced,Luxury Hotels,Beaches,Bali
Delhi,29-11-25,2,5,29098,Relaxed,Mid-range Hotels,Food,Colombo
Pune,03-05-26,6,3,90898,Balanced,Luxury Hotels,Culture,Dubai
Delhi,16-11-25,8,2,49676,Relaxed,Luxury Hotels,Nature,Andaman & Nicobar Islands
Delhi,06-02-26,1,2,18740,Relaxed,Mid-range Hotels,History|Spiritual,Varanasi
Chennai,04-10-26,4,2,39940,Relaxed,Mid-range Hotels,Nature,Langkawi
Chennai,22-01-26,6,5,35371,Balanced,Budget,Adventure|Food|Nature,Phuket
Kochi,14-04-26,3,1,42707,Balanced,Private Apartments,Beaches,Goa
Delhi,06-08-26,8,4,17357,Balanced,Private Apartments,Adventure|Culture,Manali
Pune,14-08-26,5,6,20839,Relaxed,Budget,History|Nature|Nightlife,Ooty
Kolkata,18-08-26,3,6,15941,Balanced,Budget,Spiritual,Pokhara
Kolkata,18-02-26,5,5,21376,Relaxed,Budget,Culture|History|Nightlife,Ooty
Bangalore,30-05-26,6,4,27017,Relaxed,Private Apartments,Food,Coorg
Mumbai,17-09-26,6,4,19151,Balanced,Budget,Adventure|Nature,Shimla
Pune,03-05-26,6,3,90898,Balanced,Luxury Hotels,Culture,Dubai
Mumbai,19-08-26,4,6,15585,Balanced,Private Apartments,Spiritual,Rishikesh
Delhi,11-12-25,7,5,40307,Balanced,Mid-range Hotels,Food|Nature|Nightlife,Phuket
Jaipur,26-03-26,5,4,18828,Balanced,Budget,Adventure,Rishikesh
Kochi,09-06-26,6,5,48305,Balanced,Luxury Hotels,Food,Bali
Kolkata,10-09-26,6,5,62650,Relaxed,Private Apartments,Nature,Maldives
Kochi,26-10-26,3,3,23734,Balanced,Private Apartments,Adventure,Pokhara
Kochi,02-02-26,7,1,78645,Balanced,Mid-range Hotels,Culture|Food,Istanbul
Jaipur,17-11-25,4,4,23322,Balanced,Budget,Adventure|Culture|Nature,Manali
Chennai,26-07-26,5,5,39627,Relaxed,Mid-range Hotels,Beaches,Langkawi
Chennai,12-05-26,5,1,25648,Balanced,Mid-range Hotels,Nightlife,Goa
Bangalore,25-03-26,7,3,39196,Balanced,Budget,Food,Phuket
Chennai,29-12-25,3,5,14075,Relaxed,Budget,Nature|Spiritual,Varanasi
Mumbai,12-08-26,8,6,38195,Relaxed,Luxury Hotels,Nature|Spiritual,Andaman & Nicobar Islands
Mumbai,07-08-26,5,6,25219,Balanced,Mid-range Hotels,History|Nature,Jaipur
Bangalore,13-10-26,3,5,14771,Balanced,Budget,Spiritual,Rishikesh
Ahmedabad,30-09-26,4,6,62134,Balanced,Luxury Hotels,History|Nightlife,Singapore
Mumbai,17-08-26,7,2,44606,Balanced,Mid-range Hotels,Beaches|Culture|Nightlife,Phuket
Mumbai,20-08-26,4,3,20942,Relaxed,Budget,Culture,Ooty
Ahmedabad,24-02-26,7,3,51478,Balanced,Luxury Hotels,Beaches|Food,Andaman & Nicobar Islands
Bangalore,18-02-26,8,5,44678,Relaxed,Luxury Hotels,Culture|Nature,Andaman & Nicobar Islands
Delhi,23-08-26,6,1,21041,Relaxed,Budget,Culture|History,Shimla
Kolkata,14-01-26,4,3,19830,Relaxed,Private Apartments,Food|Nature,Ooty
Jaipur,19-09-26,3,4,39352,Relaxed,Private Apartments,Beaches,Langkawi
Ahmedabad,29-09-26,3,1,18547,Relaxed,Mid-range Hotels,Culture|Spiritual,Varanasi
Hyderabad,18-08-26,3,5,38395,Relaxed,Private Apartments,Beaches|Food,Langkawi
Ahmedabad,09-05-26,5,6,43529,Balanced,Mid-range Hotels,Culture,Istanbul
Pune,25-10-26,6,4,44835,Action-Packed,Mid-range Hotels,Adventure|Food,Ladakh
Jaipur,31-05-26,5,6,39436,Balanced,Luxury Hotels,Food,Andaman & Nicobar Islands
Delhi,28-11-25,4,6,38109,Relaxed,Luxury Hotels,Beaches|Nightlife,Bali
Kochi,19-09-26,4,1,80539,Action-Packed,Private Apartments,Culture|Food,Dubai
Bangalore,10-08-26,3,6,19274,Relaxed,Private Apartments,Food|Nature,Ooty
Ahmedabad,20-11-25,7,4,36885,Relaxed,Mid-range Hotels,Nature|Nightlife,Bali
Delhi,20-05-26,3,5,57037,Action-Packed,Luxury Hotels,Beaches|Culture,Dubai
Chennai,17-11-25,3,2,94241,Balanced,Private Apartments,Culture|Nightlife,Dubai
Kochi,30-11-25,6,6,40435,Balanced,Private Apartments,Adventure|Culture|History,Ladakh
Kolkata,01-06-26,3,5,17421,Balanced,Private Apartments,Beaches|Culture|Nature,Rishikesh
Chennai,14-02-26,3,1,27901,Action-Packed,Budget,Adventure,Rishikesh
Kolkata,01-09-26,4,6,16781,Relaxed,Budget,History|Nature,Pokhara
Mumbai,17-07-26,3,4,29123,Relaxed,Budget,Food,Colombo
Chennai,29-12-25,3,5,14075,Relaxed,Budget,Nature|Spiritual,Varanasi
Mumbai,24-05-26,6,2,36801,Action-Packed,Budget,Adventure|Culture|Nightlife,Goa
Mumbai,06-02-26,9,3,50410,Balanced,Private Apartments,Adventure,Ladakh
Kolkata,03-08-26,5,1,62431,Balanced,Private Apartments,Beaches|History|Spiritual,Andaman & Nicobar Islands
Ahmedabad,02-07-26,2,6,12445,Relaxed,Budget,History|Spiritual,Varanasi
Kolkata,15-04-26,6,1,26059,Balanced,Budget,Adventure|Beaches,Manali
Hyderabad,28-05-26,7,4,39092,Relaxed,Luxury Hotels,Food|Spiritual,Andaman & Nicobar Islands
Mumbai,06-02-26,9,3,50410,Balanced,Private Apartments,Adventure,Ladakh
Delhi,07-12-25,5,1,66029,Balanced,Luxury Hotels,Culture,Dubai
Kolkata,15-04-26,4,5,51912,Balanced,Luxury Hotels,Beaches|Culture|Food,Singapore
Chennai,12-04-26,5,1,59933,Balanced,Luxury Hotels,Nature,Andaman & Nicobar Islands
Ahmedabad,19-05-26,1,2,17294,Relaxed,Budget,Culture|History|Spiritual,Varanasi
Kolkata,18-08-26,3,6,15941,Balanced,Budget,Spiritual,Pokhara
